Mod:Item:MetaData, Localized Name
miniaturia_mod:mt_vase_mini_1:0, Horticulture / Vase A (Mint)
miniaturia_mod:mt_vase_mini_1:1, Horticulture / Vase B (Mint)
miniaturia_mod:mt_vase_mini_1:2, Horticulture / Vase C (Mint)
miniaturia_mod:mt_vase_mini_1:3, Horticulture / Vase D (Mint)
miniaturia_mod:mt_pot_mini_0:0, Horticulture / Planter (Herbs-A White)
miniaturia_mod:mt_pot_mini_0:1, Horticulture / Planter (Herbs-B White)
miniaturia_mod:mt_pot_mini_0:2, Horticulture / Planter (Herbs-C White)
miniaturia_mod:mt_pot_mini_0:3, Horticulture / Planter (Herbs-D White)
miniaturia_mod:mt_pot_mini_1:0, Horticulture / Planter (Herbs-A Rattan)
miniaturia_mod:mt_pot_mini_1:1, Horticulture / Planter (Herbs-B Rattan)
miniaturia_mod:mt_pot_mini_1:2, Horticulture / Planter (Herbs-C Rattan)
miniaturia_mod:mt_pot_mini_1:3, Horticulture / Planter (Herbs-D Rattan)
miniaturia_mod:mt_pot_half:0, Horticulture / Planter C
miniaturia_mod:mt_pot_half:1, Horticulture / Planter C (brown)
miniaturia_mod:mt_pot_half:2, Horticulture / Planter C (dark brown)
miniaturia_mod:mt_pot_half:3, Horticulture / Planter C (white)
miniaturia_mod:mt_pot_half:4, Horticulture / Planter C (mint)
miniaturia_mod:mt_pot_half:5, Horticulture / Planter C (navy)
miniaturia_mod:mt_pot_half:6, Horticulture / Planter C (green)
miniaturia_mod:mt_pot_half:7, Horticulture / Planter C (rattan)
miniaturia_mod:mt_pot:0, Horticulture / Planter A
miniaturia_mod:mt_pot:1, Horticulture / Planter A (brown)
miniaturia_mod:mt_pot:2, Horticulture / Planter A (dark brown)
miniaturia_mod:mt_pot:3, Horticulture / Planter A (white)
miniaturia_mod:mt_pot:4, Horticulture / Planter A (mint)
miniaturia_mod:mt_pot:5, Horticulture / Planter A (navy)
miniaturia_mod:mt_pot:6, Horticulture / Planter A (green)
miniaturia_mod:mt_pot:7, Horticulture / Planter A (red)
miniaturia_mod:mt_pot_b:0, Horticulture / Planter B
miniaturia_mod:mt_pot_b:1, Horticulture / Planter B (brown)
miniaturia_mod:mt_pot_b:2, Horticulture / Planter B (dark brown)
miniaturia_mod:mt_pot_b:3, Horticulture / Planter B (white)
miniaturia_mod:mt_pot_b:4, Horticulture / Planter B (mint)
miniaturia_mod:mt_pot_b:5, Horticulture / Planter B (navy)
miniaturia_mod:mt_pot_b:6, Horticulture / Planter B (green)
miniaturia_mod:mt_pot_b:7, Horticulture / Planter B (rattan)
miniaturia_mod:mt_planter_half:0, Horticulture / Planter (Barrel A)
miniaturia_mod:mt_planter_half:1, Horticulture / Planter (Barrel B)
miniaturia_mod:mt_planter_half:2, Horticulture / Planter (Barrel C)
miniaturia_mod:mt_planter_half:3, Horticulture / Planter (Barrel D)
miniaturia_mod:mt_planter_brick:0, Horticulture / Flowerbed (Brick)
miniaturia_mod:mt_planter_brick:1, Horticulture / Flowerbed (Quartz White Brick)
miniaturia_mod:mt_planter_brick:2, Horticulture / Flowerbed (Grunge Brick)
miniaturia_mod:mt_planter_brick:3, Horticulture / Flowerbed (Red Brick)
miniaturia_mod:mt_planter_brick:4, Horticulture / Flowerbed (Orange Brick)
miniaturia_mod:mt_planter_brick:5, Horticulture / Flowerbed (Beige Brick)
miniaturia_mod:mt_planter_brick:6, Horticulture / Flowerbed (Thin Brick)
miniaturia_mod:mt_planter_brick:7, Horticulture / Flowerbed (Cobblestone)
miniaturia_mod:mt_farmland, Horticulture / Field
miniaturia_mod:mt_planter_brick_half:0, Horticulture / Flowerbed (Brick half)
miniaturia_mod:mt_planter_brick_half:1, Horticulture / Flowerbed (Quartz White Brick half)
miniaturia_mod:mt_planter_brick_half:2, Horticulture / Flowerbed (Grunge Brick half)
miniaturia_mod:mt_planter_brick_half:3, Horticulture / Flowerbed (Red Brick half)
miniaturia_mod:mt_planter_brick_half:4, Horticulture / Flowerbed (Orange Brick half)
miniaturia_mod:mt_planter_brick_half:5, Horticulture / Flowerbed (Beige Brick half)
miniaturia_mod:mt_planter_brick_half:6, Horticulture / Flowerbed (Thin Brick half)
miniaturia_mod:mt_planter_brick_half:7, Horticulture / Flowerbed (Cobblestone half)
miniaturia_mod:mt_farmland_half:0, Horticulture / Field (half)
miniaturia_mod:mt_planter_horizontal_0:0, Horticulture / Planter D (Rattan)
miniaturia_mod:mt_planter_horizontal_0:1, Horticulture / Planter D (Terracotta)
miniaturia_mod:mt_bonsai:0, Horticulture / Bonsai A
miniaturia_mod:mt_bonsai:1, Horticulture / Bonsai B
miniaturia_mod:mt_bonsai:2, Horticulture / Bonsai (cherry)
miniaturia_mod:mt_bonsai:3, Horticulture / Bonsai (moss)
miniaturia_mod:mt_windowbox_geranium_red, Horticulture / Planter (Window Box A)
miniaturia_mod:mt_windowbox_geranium_pink, Horticulture / Planter (Window Box B)
miniaturia_mod:mt_windowbox_geranium_white, Horticulture / Planter (Window Box C)
miniaturia_mod:mt_windowbox_flowers_a, Horticulture / Planter (Window Box D)
miniaturia_mod:mt_windowbox_flowers_b, Horticulture / Planter (Window Box E)
miniaturia_mod:mt_windowbox_herbs_a, Horticulture / Planter (Window Box F)
miniaturia_mod:mt_windowbox_herbs_b, Horticulture / Planter (Window Box G)
miniaturia_mod:mt_hanging_planter_0:0, Horticulture / Planter (Hanging A white)
miniaturia_mod:mt_hanging_planter_0:2, Horticulture / Planter (Hanging B white)
miniaturia_mod:mt_hanging_planter_1:0, Horticulture / Planter (Hanging A rattan)
miniaturia_mod:mt_hanging_planter_1:2, Horticulture / Planter (Hanging B rattan)
miniaturia_mod:mt_hanging_planter_2:0, tile.mt_hanging_planter_2.a.name
miniaturia_mod:mt_hanging_planter_2:2, tile.mt_hanging_planter_2.c.name
miniaturia_mod:mt_hanging_planter_3:0, tile.mt_hanging_planter_3.a.name
miniaturia_mod:mt_hanging_planter_3:2, tile.mt_hanging_planter_3.c.name
miniaturia_mod:mt_hanging_basket_0:0, Horticulture / Planter (Hanging Basket A)
miniaturia_mod:mt_hanging_basket_0:2, Horticulture / Planter (Hanging Basket B)
miniaturia_mod:mt_hanging_basket_1:0, Horticulture / Planter (Hanging Basket C)
miniaturia_mod:mt_hanging_basket_1:2, Horticulture / Planter (Hanging Basket D)
miniaturia_mod:mt_dried_herbs_a, Horticulture / Dried Herbs A
miniaturia_mod:mt_dried_herbs_b, Horticulture / Dried Herbs B
miniaturia_mod:mt_dried_herbs_c, Horticulture / Dried Herbs C
miniaturia_mod:mt_dried_herbs_d, Horticulture / Dried Herbs D
miniaturia_mod:mt_dried_herbs_e, Horticulture / Dried Herbs E
miniaturia_mod:mt_dried_herbs_f, Horticulture / Dried Herbs F
miniaturia_mod:mt_tire_m:0, Car / M Tire
miniaturia_mod:mt_tire_m:2, Car / M Tire with cover
miniaturia_mod:mt_tire_l:0, Car / L Tire
miniaturia_mod:mt_tire_l:2, Car / L Tire with cover
miniaturia_mod:mt_car_side_a_0:0, Car / Base for Headlights (white)
miniaturia_mod:mt_car_side_a_0:1, Car / Base for Headlights (yellow)
miniaturia_mod:mt_car_side_a_1:0, Car / Base for Headlights (mint)
miniaturia_mod:mt_car_side_a_1:1, Car / Base for Headlights (blue)
miniaturia_mod:mt_car_side_a_2:0, Car / Base for Headlights (red)
miniaturia_mod:mt_car_side_a_2:1, Car / Base for Headlights (black)
miniaturia_mod:mt_car_bumper_a_0:0, Car / Bumper A
miniaturia_mod:mt_car_bumper_a_0:1, Car / Bumper A
miniaturia_mod:mt_car_bumper_a_0:2, Car / Bumper B
miniaturia_mod:mt_car_bumper_a_0:3, Car / Bumper B
miniaturia_mod:mt_car_front_a, Car / Front A
miniaturia_mod:mt_car_front_b, Car / Front B
miniaturia_mod:mt_car_front_c, Car / Front C
miniaturia_mod:mt_car_glass_a_0:0, Car / Windshield A (steel-silver)
miniaturia_mod:mt_car_glass_a_0:1, Car / Rear-Glass A (steel-silver)
miniaturia_mod:mt_car_glass_a_1:0, Car / Windshield A (steel-black)
miniaturia_mod:mt_car_glass_a_1:1, Car / Rear-Glass A (steel-black)
miniaturia_mod:mt_car_glass_a_2:0, Car / Windshield A (steel-red)
miniaturia_mod:mt_car_glass_a_2:1, Car / Rear-Glass A (steel-red)
miniaturia_mod:mt_car_glass_a_3:0, Car / Windshield A (steel-green)
miniaturia_mod:mt_car_glass_a_3:1, Car / Rear-Glass A (steel-green)
miniaturia_mod:mt_car_glass_a_4:0, Car / Windshield A (white)
miniaturia_mod:mt_car_glass_a_4:1, Car / Rear-Glass A (white)
miniaturia_mod:mt_car_glass_a_5:0, Car / Windshield A (yellow)
miniaturia_mod:mt_car_glass_a_5:1, Car / Rear-Glass A (yellow)
miniaturia_mod:mt_car_glass_a_6:0, Car / Windshield A (mint)
miniaturia_mod:mt_car_glass_a_6:1, Car / Rear-Glass A (mint)
miniaturia_mod:mt_car_glass_a_7:0, Car / Windshield A (blue)
miniaturia_mod:mt_car_glass_a_7:1, Car / Rear-Glass A (blue)
miniaturia_mod:mt_car_glass_a_8:0, Car / Windshield A (red)
miniaturia_mod:mt_car_glass_a_8:1, Car / Rear-Glass A (red)
miniaturia_mod:mt_car_glass_b_0:0, Car / Windshield B (steel-silver)
miniaturia_mod:mt_car_glass_b_0:1, Car / Rear-Glass B (steel-silver)
miniaturia_mod:mt_car_glass_b_1:0, Car / Windshield B (steel-black)
miniaturia_mod:mt_car_glass_b_1:1, Car / Rear-Glass B (steel-black)
miniaturia_mod:mt_car_glass_b_2:0, Car / Windshield B (steel-red)
miniaturia_mod:mt_car_glass_b_2:1, Car / Rear-Glass B (steel-red)
miniaturia_mod:mt_car_glass_b_3:0, Car / Windshield B (steel-green)
miniaturia_mod:mt_car_glass_b_3:1, Car / Rear-Glass B (steel-green)
miniaturia_mod:mt_car_glass_b_4:0, Car / Windshield B (white)
miniaturia_mod:mt_car_glass_b_4:1, Car / Rear-Glass B (white)
miniaturia_mod:mt_car_glass_b_5:0, Car / Windshield B (yellow)
miniaturia_mod:mt_car_glass_b_5:1, Car / Rear-Glass B (yellow)
miniaturia_mod:mt_car_glass_b_6:0, Car / Windshield B (mint)
miniaturia_mod:mt_car_glass_b_6:1, Car / Rear-Glass B (mint)
miniaturia_mod:mt_car_glass_b_7:0, Car / Windshield B (blue)
miniaturia_mod:mt_car_glass_b_7:1, Car / Rear-Glass B (blue)
miniaturia_mod:mt_car_glass_b_8:0, Car / Windshield B (red)
miniaturia_mod:mt_car_glass_b_8:1, Car / Rear-Glass B (red)
miniaturia_mod:mt_car_door_a_steelsilver, Car / Door (steel-silver windowless)
miniaturia_mod:mt_car_door_a_steelblack, Car / Door (steel-black windowless)
miniaturia_mod:mt_car_door_a_steelred, Car / Door (steel-red windowless)
miniaturia_mod:mt_car_door_a_steelgreen, Car / Door (steel-green windowless)
miniaturia_mod:mt_car_door_a_white, Car / Door (white windowless)
miniaturia_mod:mt_car_door_a_yellow, Car / Door (yellow windowless)
miniaturia_mod:mt_car_door_a_mint, Car / Door (mint windowless)
miniaturia_mod:mt_car_door_a_blue, Car / Door (blue windowless)
miniaturia_mod:mt_car_door_a_red, Car / Door (red windowless)
miniaturia_mod:mt_car_door_b_steelsilver, Car / Door (steel-silver)
miniaturia_mod:mt_car_door_b_steelblack, Car / Door (steel-black)
miniaturia_mod:mt_car_door_b_steelred, Car / Door (steel-red)
miniaturia_mod:mt_car_door_b_steelgreen, Car / Door (steel-green)
miniaturia_mod:mt_car_door_b_white, Car / Door (white)
miniaturia_mod:mt_car_door_b_yellow, Car / Door (yellow)
miniaturia_mod:mt_car_door_b_mint, Car / Door (mint)
miniaturia_mod:mt_car_door_b_blue, Car / Door (blue)
miniaturia_mod:mt_car_door_b_red, Car / Door (red)
miniaturia_mod:mt_car_door_b_white_yellow, Car / Door (white-yellow)
miniaturia_mod:mt_car_door_b_white_mint, Car / Door (white-mint)
miniaturia_mod:mt_car_door_b_white_blue, Car / Door (white-blue)
miniaturia_mod:mt_car_door_b_white_red, Car / Door (white-red)
miniaturia_mod:mt_car_door_b_white_black, Car / Door (white-black)
miniaturia_mod:mt_car_seat_0:0, Car / Seat (brown)
miniaturia_mod:mt_car_seat_0:1, Car / Seat (white)
miniaturia_mod:mt_car_seat_0:2, Car / Seat (black)
miniaturia_mod:mt_car_seat_0:3, Car / Seat (red)
miniaturia_mod:mt_car_light_a, Car / Light A
miniaturia_mod:mt_car_light_b, Car / Light B
miniaturia_mod:mt_saddle:0, Horse Carriage / Saddle A
miniaturia_mod:mt_saddle:1, Horse Carriage / Saddle B
miniaturia_mod:mt_saddle:2, Horse Carriage / Saddle C
miniaturia_mod:mt_saddle:3, Horse Carriage / Harness
miniaturia_mod:mt_harness_a, Horse Carriage / Harness (with tow bar for one horse)
miniaturia_mod:mt_harness_b, Horse Carriage / Harness (for multi-headed)
miniaturia_mod:mt_horseshaft_a, Horse Carriage / Tow bar for one horse
miniaturia_mod:mt_horseshaft_b, Horse Carriage / Tow bar for multi-headed
miniaturia_mod:mt_wheel_center_s_0:0, Wheel (Caster light-brown)
miniaturia_mod:mt_wheel_center_s_0:1, Wheel (Caster ash-brown)
miniaturia_mod:mt_wheel_center_s_0:2, Wheel (Caster white)
miniaturia_mod:mt_wheel_center_s_0:3, Wheel (Caster black)
miniaturia_mod:mt_wheel_s_0:0, Horse Carriage / Wheel (small light-brown)
miniaturia_mod:mt_wheel_s_0:2, Horse Carriage / Wheel (small ash-brown)
miniaturia_mod:mt_wheel_s_1:0, Horse Carriage / Wheel (small dark-brown)
miniaturia_mod:mt_wheel_s_1:2, Horse Carriage / Wheel (small white)
miniaturia_mod:mt_wheel_s_2:0, Horse Carriage / Wheel (small black)
miniaturia_mod:mt_wheel_s_2:2, Horse Carriage / Wheel (small)
miniaturia_mod:mt_wheel_s_3:0, Horse Carriage / Wheel (small yellow)
miniaturia_mod:mt_wheel_s_3:2, Horse Carriage / Wheel (small red)
miniaturia_mod:mt_wheel_m_0:0, Horse Carriage / Wheel (middle light-brown)
miniaturia_mod:mt_wheel_m_0:2, Horse Carriage / Wheel (middle ash-brown)
miniaturia_mod:mt_wheel_m_1:0, Horse Carriage / Wheel (middle dark-brown)
miniaturia_mod:mt_wheel_m_1:2, Horse Carriage / Wheel (middle white)
miniaturia_mod:mt_wheel_m_2:0, Horse Carriage / Wheel (middle black)
miniaturia_mod:mt_wheel_m_2:2, Horse Carriage / Wheel (middle)
miniaturia_mod:mt_wheel_m_3:0, Horse Carriage / Wheel (middle yellow)
miniaturia_mod:mt_wheel_m_3:2, Horse Carriage / Wheel (middle red)
miniaturia_mod:mt_wheel_l_0:0, Horse Carriage / Wheel (large light-brown)
miniaturia_mod:mt_wheel_l_0:2, Horse Carriage / Wheel (large ash-brown)
miniaturia_mod:mt_wheel_l_1:0, Horse Carriage / Wheel (large dark-brown)
miniaturia_mod:mt_wheel_l_1:2, Horse Carriage / Wheel (large white)
miniaturia_mod:mt_wheel_l_2:0, Horse Carriage / Wheel (large black)
miniaturia_mod:mt_wheel_l_2:2, Horse Carriage / Wheel (large)
miniaturia_mod:mt_wheel_l_3:0, Horse Carriage / Wheel (large yellow)
miniaturia_mod:mt_wheel_l_3:2, Horse Carriage / Wheel (large red)
miniaturia_mod:mt_steel_wheel_m_silver, Railroad / Wheel (Iron silver)
miniaturia_mod:mt_steel_wheel_m_black, Railroad /Wheel (Iron black)
miniaturia_mod:mt_steel_wheel_m_brass, Railroad /Wheel (Brass black)
miniaturia_mod:mt_steel_wheel_l_silver, Railroad /Wheel (Iron large silver)
miniaturia_mod:mt_steel_wheel_l_black, Railroad /Wheel (Iron large black)
miniaturia_mod:mt_steel_wheel_l_brass, Railroad /Wheel (Iron large)
miniaturia_mod:mt_steel_wheel_l_red, Railroad /Wheel (Iron large red)
miniaturia_mod:mt_ship_steering:0, Steering Wheel (brown)
miniaturia_mod:mt_ship_steering:1, Steering Wheel (white)
miniaturia_mod:mt_life_buoy:0, Life Buoy A
miniaturia_mod:mt_life_buoy:1, Life Buoy B
miniaturia_mod:mt_life_buoy:2, Life Buoy C
miniaturia_mod:mt_life_buoy:3, Life Buoy D
miniaturia_mod:mt_life_buoy_wall_a, Life Buoy A (for wall)
miniaturia_mod:mt_life_buoy_wall_b, Life Buoy B (for wall)
miniaturia_mod:mt_life_buoy_wall_c, Life Buoy C (for wall)
miniaturia_mod:mt_life_buoy_wall_d, Life Buoy D (for wall)
miniaturia_mod:mt_propeller_a:0, Propeller (Wood brown)
miniaturia_mod:mt_propeller_a:1, Propeller (Wood white)
miniaturia_mod:mt_propeller_b:0, Propeller (Iron black)
miniaturia_mod:mt_propeller_b:1, Propeller (Iron gold)
miniaturia_mod:mt_bicycle_0:0, Bicycle (red)
miniaturia_mod:mt_bicycle_0:2, Bicycle (blue)
miniaturia_mod:mt_bicycle_1:0, Bicycle (yellow)
miniaturia_mod:mt_bicycle_1:2, Bicycle (mint)
miniaturia_mod:mt_bicycle_2:0, Bicycle (pink)
miniaturia_mod:mt_bicycle_2:2, Bicycle (black)
miniaturia_mod:mt_bicycle_basket:0, Bicycle Basket A
miniaturia_mod:mt_bicycle_basket:2, Bicycle Basket B
miniaturia_mod:mt_counter_cabinet_0:0, Oak / Counter Cabinet
miniaturia_mod:mt_counter_cabinet_0:1, Light-brown / Counter Cabinet
miniaturia_mod:mt_counter_cabinet_0:2, Acacia / Counter Cabinet
miniaturia_mod:mt_counter_cabinet_0:3, Dark Oak / Counter Cabinet
miniaturia_mod:mt_counter_cabinet_1:0, White-brown / Counter Cabinet
miniaturia_mod:mt_counter_cabinet_1:1, White / Counter Cabinet
miniaturia_mod:mt_counter_cabinet_1:2, Pink / Counter Cabinet
miniaturia_mod:mt_counter_cabinet_1:3, Mint / Counter Cabinet
miniaturia_mod:mt_shelf_a_ashbrown:0, Oak / Wood Shelf (2-shelves simple)
miniaturia_mod:mt_shelf_a_ashbrown:2, Oak / Wood Shelf (2-shelves)
miniaturia_mod:mt_shelf_b_ashbrown:0, Oak / Wood Shelf (1-shelf simple)
miniaturia_mod:mt_shelf_b_ashbrown:2, Oak / Wood Shelf (1-shelf)
miniaturia_mod:mt_shelf_c_ashbrown:0, Oak / Wood Cabinet (2-shelves)
miniaturia_mod:mt_shelf_c_ashbrown:2, Oak / Wood Cabinet (1-shelf)
miniaturia_mod:mt_shelf_a_lightbrown:0, Light-brown / Wood Shelf (2-shelves simple)
miniaturia_mod:mt_shelf_a_lightbrown:2, Light-brown / Wood Shelf (2-shelves)
miniaturia_mod:mt_shelf_b_lightbrown:0, Light-brown / Wood Shelf (1-shelf simple)
miniaturia_mod:mt_shelf_b_lightbrown:2, Light-brown / Wood Shelf (1-shelf)
miniaturia_mod:mt_shelf_c_lightbrown:0, Light-brown / Wood Cabinet (2-shelves)
miniaturia_mod:mt_shelf_c_lightbrown:2, Light-brown / Wood Cabinet (1-shelf)
miniaturia_mod:mt_shelf_a_acacia:0, Acacia / Wood Shelf (2-shelves simple)
miniaturia_mod:mt_shelf_a_acacia:2, Acacia / Wood Shelf (2-shelves)
miniaturia_mod:mt_shelf_b_acacia:0, Acacia / Wood Shelf (1-shelf simple)
miniaturia_mod:mt_shelf_b_acacia:2, Acacia / Wood Shelf (1-shelf)
miniaturia_mod:mt_shelf_c_acacia:0, Acacia / Wood Cabinet (2-shelves)
miniaturia_mod:mt_shelf_c_acacia:2, Acacia / Wood Cabinet (1-shelf)
miniaturia_mod:mt_shelf_a_darkbrown:0, Dark Oak / Wood Shelf (2-shelves simple)
miniaturia_mod:mt_shelf_a_darkbrown:2, Dark Oak / Wood Shelf (2-shelves)
miniaturia_mod:mt_shelf_b_darkbrown:0, Dark Oak / Wood Shelf (1-shelf simple)
miniaturia_mod:mt_shelf_b_darkbrown:2, Dark Oak / Wood Shelf (1-shelf)
miniaturia_mod:mt_shelf_c_darkbrown:0, Dark Oak / Wood Cabinet (2-shelves)
miniaturia_mod:mt_shelf_c_darkbrown:2, Dark Oak / Wood Cabinet (1-shelf)
miniaturia_mod:mt_shelf_a_white_brown:0, Light-brown / Wood Shelf (2-shelves simple)
miniaturia_mod:mt_shelf_a_white_brown:2, Light-brown / Wood Shelf (2-shelves)
miniaturia_mod:mt_shelf_b_white_brown:0, Light-brown / Wood Shelf (1-shelf simple)
miniaturia_mod:mt_shelf_b_white_brown:2, Light-brown / Wood Shelf (1-shelf)
miniaturia_mod:mt_shelf_c_white_brown:0, Light-brown / Wood Cabinet (2-shelves)
miniaturia_mod:mt_shelf_c_white_brown:2, Light-brown / Wood Cabinet (1-shelf)
miniaturia_mod:mt_shelf_a_white:0, White / Wood Shelf (2-shelves simple)
miniaturia_mod:mt_shelf_a_white:2, White / Wood Shelf (2-shelves)
miniaturia_mod:mt_shelf_b_white:0, White / Wood Shelf (1-shelf simple)
miniaturia_mod:mt_shelf_b_white:2, White / Wood Shelf (1-shelf)
miniaturia_mod:mt_shelf_c_white:0, White / Wood Cabinet (2-shelves)
miniaturia_mod:mt_shelf_c_white:2, White / Wood Cabinet (1-shelf)
miniaturia_mod:mt_shelf_a_pink:0, Pink / Wood Shelf (2-shelves simple)
miniaturia_mod:mt_shelf_a_pink:2, Pink / Wood Shelf (2-shelves)
miniaturia_mod:mt_shelf_b_pink:0, Pink / Wood Shelf (1-shelf simple)
miniaturia_mod:mt_shelf_b_pink:2, Pink / Wood Shelf (1-shelf)
miniaturia_mod:mt_shelf_c_pink:0, Pink / Wood Cabinet (2-shelves)
miniaturia_mod:mt_shelf_c_pink:2, Pink / Wood Cabinet (1-shelf)
miniaturia_mod:mt_shelf_a_mint:0, Mint / Wood Shelf (2-shelves simple)
miniaturia_mod:mt_shelf_a_mint:2, Mint / Wood Shelf (2-shelves)
miniaturia_mod:mt_shelf_b_mint:0, Mint / Wood Shelf (1-shelf simple)
miniaturia_mod:mt_shelf_b_mint:2, Mint / Wood Shelf (1-shelf)
miniaturia_mod:mt_shelf_c_mint:0, Mint / Wood Cabinet (2-shelves)
miniaturia_mod:mt_shelf_c_mint:2, Mint / Wood Cabinet (1-shelf)
miniaturia_mod:mt_drawers_0:0, Oak / Drawers Chest
miniaturia_mod:mt_drawers_0:2, Light-brown / Drawers Chest
miniaturia_mod:mt_drawers_1:0, Acacia / Drawers Chest
miniaturia_mod:mt_drawers_1:2, Dark Oak / Drawers Chest
miniaturia_mod:mt_drawers_2:0, White-brown / Drawers Chest
miniaturia_mod:mt_drawers_2:2, White / Drawers Chest
miniaturia_mod:mt_drawers_3:0, Pink / Drawers Chest
miniaturia_mod:mt_drawers_3:2, Mint / Drawers Chest
miniaturia_mod:mt_wardrobe_0:0, Oak / Wardrobe on the Drawers Chest
miniaturia_mod:mt_wardrobe_0:1, Light-brown / Wardrobe on the Drawers Chest
miniaturia_mod:mt_wardrobe_0:2, Acacia / Wardrobe on the Drawers Chest
miniaturia_mod:mt_wardrobe_0:3, Dark Oak / Wardrobe on the Drawers Chest
miniaturia_mod:mt_wardrobe_1:0, White-brown / Wardrobe on the Drawers Chest
miniaturia_mod:mt_wardrobe_1:1, White / Wardrobe on the Drawers Chest
miniaturia_mod:mt_wardrobe_1:2, Pink / Wardrobe on the Drawers Chest
miniaturia_mod:mt_wardrobe_1:3, Mint / Wardrobe on the Drawers Chest
miniaturia_mod:mt_apothecary_0:0, Oak / Apothecary Cabinet
miniaturia_mod:mt_apothecary_0:2, Light-brown / Apothecary Cabinet
miniaturia_mod:mt_apothecary_1:0, Acacia / Apothecary Cabinet
miniaturia_mod:mt_apothecary_1:2, Dark Oak / Apothecary Cabinet
miniaturia_mod:mt_showcase_a_lightbrown:0, Light-brown / Showcase (2-shelves)
miniaturia_mod:mt_showcase_a_lightbrown:2, Light-brown / Showcase (2-shelves Tilted)
miniaturia_mod:mt_showcase_b_lightbrown:0, Light-brown / Showcase without Glass (2-shelves)
miniaturia_mod:mt_showcase_b_lightbrown:2, Light-brown / Showcase without Glass (2-shelves Tilted)
miniaturia_mod:mt_showcase_a_darkbrown:0, Dark Oak / Showcase (2-shelves)
miniaturia_mod:mt_showcase_a_darkbrown:2, Dark Oak / Showcase (2-shelves Tilted)
miniaturia_mod:mt_showcase_b_darkbrown:0, Dark Oak / Showcase without Glass (2-shelves)
miniaturia_mod:mt_showcase_b_darkbrown:2, Dark Oak / Showcase without Glass (2-shelves Tilted)
miniaturia_mod:mt_shop_rack_lightbrown:0, Light-brown / Store Shelf (2-shelves)
miniaturia_mod:mt_shop_rack_lightbrown:1, Light-brown / Store Shelf (1-shelf)
miniaturia_mod:mt_shop_rack_lightbrown:2, Light-brown / Store Shelf (2-shelves)
miniaturia_mod:mt_shop_rack_lightbrown:3, Light-brown / Store Shelf (1-shelf)
miniaturia_mod:mt_shop_rack_darkbrown:0, Dark Oak / Store Shelf (2-shelves)
miniaturia_mod:mt_shop_rack_darkbrown:1, Dark Oak / Store Shelf (1-shelf)
miniaturia_mod:mt_shop_rack_darkbrown:2, Dark Oak / Store Shelf (2-shelves)
miniaturia_mod:mt_shop_rack_darkbrown:3, Dark Oak / Store Shelf (1-shelf)
miniaturia_mod:mt_shop_rack_white:0, White / Store Shelf (2-shelves)
miniaturia_mod:mt_shop_rack_white:1, White / Store Shelf (1-shelf)
miniaturia_mod:mt_shop_rack_white:2, White / Store Shelf (2-shelves)
miniaturia_mod:mt_shop_rack_white:3, White / Store Shelf (1-shelf)
miniaturia_mod:mt_shelf_space_saving_book_0:0, Oak / Space-Saving Bookshelf
miniaturia_mod:mt_shelf_space_saving_book_0:1, Light-brown / Space-Saving Bookshelf
miniaturia_mod:mt_shelf_space_saving_book_0:2, Acacia / Space-Saving Bookshelf
miniaturia_mod:mt_shelf_space_saving_book_0:3, Dark Oak / Space-Saving Bookshelf
miniaturia_mod:mt_shelf_space_saving_book_1:0, White-brown / Space-Saving Bookshelf
miniaturia_mod:mt_shelf_space_saving_book_1:1, White / Space-Saving Bookshelf
miniaturia_mod:mt_shelf_space_saving_book_1:2, Pink / Space-Saving Bookshelf
miniaturia_mod:mt_shelf_space_saving_book_1:3, Mint / Space-Saving Bookshelf
miniaturia_mod:mt_shelf_wall_0:0, Oak / Wall Shelf
miniaturia_mod:mt_shelf_wall_0:2, White / Wall Shelf
miniaturia_mod:mt_shelf_wall_1:0, Acacia / Wall Shelf
miniaturia_mod:mt_shelf_wall_1:2, Dark Oak / Wall Shelf
miniaturia_mod:mt_shelf_hanging_0, Hanging Shelf (Stainless)
miniaturia_mod:mt_shelf_hanging_1, Hanging Shelf (Iron)
miniaturia_mod:mt_shelf_hanging_2, Hanging Shelf (Wood Iron)
miniaturia_mod:mt_furniture_ctm_0:0, Rattan / Drawers
miniaturia_mod:mt_furniture_ctm_0:1, Rattan / Closet
miniaturia_mod:mt_furniture_ctm_0:2, Rattan / Drawers with legs
miniaturia_mod:mt_furniture_ctm_0:3, Rattan / Rack or Table
miniaturia_mod:mt_dresser_chest_0:0, Acacia / Dresser Chest
miniaturia_mod:mt_dresser_chest_0:1, Dark Oak / Dresser Chest
miniaturia_mod:mt_dresser_chest_1:0, White-brown / Dresser Chest
miniaturia_mod:mt_dresser_chest_1:1, White / Dresser Chest
miniaturia_mod:mt_dresser_chest_2:0, Pink / Dresser Chest
miniaturia_mod:mt_dresser_chest_2:1, Mint / Dresser Chest
miniaturia_mod:mt_dresser_mirror_0:0, Acacia / Dresser Mirror (L)
miniaturia_mod:mt_dresser_mirror_0:1, Acacia / Dresser Mirror (S)
miniaturia_mod:mt_dresser_mirror_0:2, Dark Oak / Dresser Mirror (L)
miniaturia_mod:mt_dresser_mirror_0:3, Dark Oak / Dresser Mirror (S)
miniaturia_mod:mt_dresser_mirror_1:0, White-brown / Dresser Mirror (L)
